Winner,HeightDif,ReachDif,AgeDif,WinStreakDif,LossDif,SigStrDif,AvgTDDif,BlueAvgSigStrLanded,RedAvgSigStrLanded,BlueAvgSigStrPct,RedAvgSigStrPct,BlueAvgTDLanded,RedAvgTDLanded,BlueAvgTDPct,RedAvgTDPct,BlueAvgSubAtt,RedAvgSubAtt,TotalRoundDif,TotalTitleBoutDif,BlueWins,RedWins,BlueLosses,RedLosses,RedStance,BlueStance,RedOdds,BlueOdds,RedWeightLbs,BlueWeightLbs,RMatchWCRank,BMatchWCRank
Blue,-7.62,-2.54,7,0,0,-0.22,0.0,3.64,3.86,0.37,0.29,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,3,3,2,2,Orthodox,Orthodox,-245.0,200.0,155,155,,
Red,0.0,-10.16,5,-18,3,0.29,-0.15,4.67,4.38,0.52,0.58,1.74,1.89,0.34,0.45,0.0,0.5,-28,-8,14,21,4,1,Orthodox,Orthodox,-550.0,410.0,248,240,0.0,8.0
Red,-5.08,-7.62,3,0,-7,1.09,-0.66,4.49,3.4,0.5,0.55,1.59,2.25,0.37,0.4,0.6,2.7,-49,-2,4,22,3,10,Orthodox,Orthodox,-265.0,215.0,155,155,2.0,7.0
Red,5.08,0.0,8,-5,8,-0.13,-2.09,2.52,2.65,0.44,0.63,1.52,3.61,0.2,0.5,1.4,3.6,28,0,9,5,8,0,Southpaw,Orthodox,-1350.0,800.0,185,185,,
Red,2.54,-2.54,-7,5,-5,-1.0,0.93,3.04,4.04,0.38,0.47,2.79,1.86,0.5,0.43,1.9,0.7,-27,0,5,6,0,5,Orthodox,Orthodox,235.0,-290.0,125,125,,11.0
Red,2.54,-5.08,-3,-2,2,0.87,0.0,5.57,4.7,0.41,0.59,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,2,0,Orthodox,Orthodox,-1000.0,650.0,155,155,,
Blue,0.0,-2.54,4,3,-4,1.62,0.08,6.06,4.44,0.48,0.49,0.46,0.38,0.33,0.35,0.5,0.1,-34,0,3,10,0,4,Southpaw,Orthodox,-105.0,-115.0,135,135,13.0,
Red,7.62,0.0,-5,0,-12,-0.03,0.78,2.96,2.99,0.42,0.42,2.3,1.52,0.32,0.44,1.2,1.7,-69,0,6,26,5,17,Southpaw,Switch,195.0,-238.0,155,155,,
Red,-7.62,-10.16,-6,-2,-2,-0.67,-0.73,4.93,5.6,0.47,0.5,0.0,0.73,0.0,0.2,0.0,0.6,-14,0,0,4,0,2,Orthodox,Orthodox,-1450.0,850.0,145,155,,
Red,2.54,2.54,-6,3,-8,-0.21,-1.42,3.36,3.57,0.53,0.49,0.0,1.42,0.0,0.33,0.0,0.1,-43,0,3,12,0,8,Orthodox,Orthodox,-105.0,-115.0,249,254,9.0,
Blue,-10.16,-5.08,-1,0,-3,-1.24,0.36,2.26,3.5,0.44,0.49,1.51,1.15,0.35,0.32,1.5,1.6,-13,0,2,6,3,6,Switch,Orthodox,-170.0,142.0,170,170,,
Blue,2.54,0.0,-6,2,-1,0.55,-0.05,4.26,3.71,0.49,0.38,2.16,2.21,0.5,0.24,0.0,0.0,3,0,3,1,0,1,Orthodox,Orthodox,250.0,-310.0,170,170,,
Blue,5.08,5.08,1,-3,-3,-0.52,3.44,2.6,3.12,0.49,0.45,4.37,0.93,0.35,0.41,0.4,0.3,-15,0,2,4,1,4,Southpaw,Orthodox,,,125,125,,
Blue,-5.08,-5.08,-6,4,-11,0.96,-1.68,4.39,3.43,0.57,0.46,0.44,2.12,1.0,0.38,0.0,0.2,-81,0,4,22,0,11,Orthodox,Switch,550.0,-800.0,170,170,15.0,
Blue,7.62,2.54,-2,-2,-9,0.14,4.38,3.24,3.1,0.57,0.45,6.39,2.01,0.38,0.35,1.3,1.5,-43,0,0,12,0,9,Southpaw,Southpaw,250.0,-310.0,185,185,,
Red,-7.62,-2.54,-2,1,0,-1.64,1.19,2.1,3.74,0.37,0.5,1.97,0.78,0.66,1.0,1.0,0.0,-1,0,1,1,1,1,Orthodox,Southpaw,205.0,-250.0,135,135,,
Blue,7.62,2.54,-2,2,4,-0.53,0.88,2.89,3.42,0.48,0.4,2.68,1.8,0.39,0.33,1.0,0.2,24,0,11,4,6,2,Orthodox,Orthodox,360.0,-470.0,115,115,13.0,14.0
Red,-2.54,-12.7,3,-1,4,-1.26,0.92,5.35,6.61,0.57,0.54,0.92,0.0,0.12,0.0,0.0,0.0,12,0,4,1,4,0,Orthodox,Orthodox,-485.0,370.0,185,185,,
Blue,-2.54,-2.54,-15,1,-6,-0.99,0.41,4.55,5.54,0.5,0.43,0.72,0.31,0.25,0.22,0.9,0.2,-31,-1,4,9,2,8,Orthodox,Orthodox,,,115,115,,
Red,10.16,2.54,-9,0,-4,-1.93,-0.7,2.4,4.33,0.37,0.41,0.0,0.7,0.0,0.2,0.0,0.5,-40,0,0,10,0,4,Orthodox,Orthodox,,,170,170,,
Blue,-10.16,-7.62,3,0,-4,-0.39,-0.42,3.38,3.77,0.53,0.42,0.59,1.01,0.12,0.57,0.0,0.4,-21,0,2,5,1,5,Switch,Orthodox,,,170,170,,
Blue,10.16,20.32,-5,0,-3,-0.02,0.0,4.3,4.32,0.47,0.46,2.17,2.17,0.37,0.37,1.4,0.0,-24,0,2,7,3,6,Orthodox,Switch,,,135,135,,
Red,15.24,10.16,3,-1,-1,-1.71,-2.62,1.29,3.0,0.5,0.54,0.84,3.46,0.11,0.75,0.8,1.7,-2,0,0,1,1,2,Switch,Orthodox,,,185,185,,
Red,2.54,2.54,-8,0,-1,-1.54,-1.53,1.89,3.43,0.37,0.56,0.0,1.53,0.0,0.37,0.0,0.0,-5,0,0,1,0,1,Orthodox,Orthodox,,,135,135,,
Red,-5.08,-5.08,1,5,-5,-1.27,-0.2,2.72,3.99,0.34,0.43,1.39,1.59,0.32,0.46,0.5,0.4,-40,-6,5,9,0,5,Orthodox,Orthodox,-180.0,150.0,125,125,2.0,3.0
Red,2.54,-2.54,7,2,4,-1.53,-0.4,3.71,5.24,0.42,0.44,1.46,1.86,0.5,0.31,0.4,0.8,33,7,11,6,5,1,Orthodox,Orthodox,-155.0,130.0,125,125,3.0,5.0
Blue,-2.54,7.62,-2,0,0,-2.66,1.27,3.16,5.82,0.42,0.53,1.27,0.0,0.5,0.0,0.4,0.0,-4,0,1,1,2,2,Southpaw,Orthodox,-192.0,160.0,250,205,,
Blue,2.54,2.54,5,2,-4,-0.34,1.98,3.7,4.04,0.44,0.41,2.5,0.52,0.43,0.55,0.6,0.3,-5,0,6,6,2,6,Orthodox,Orthodox,190.0,-250.0,125,125,13.0,14.0
Blue,-2.54,2.54,-2,0,-2,-2.51,2.1,3.47,5.98,0.44,0.47,2.31,0.21,0.41,0.25,1.1,0.1,-14,0,3,5,5,7,Orthodox,Orthodox,-270.0,220.0,185,185,,
Red,-2.54,2.54,0,0,5,-0.68,-1.2,3.17,3.85,0.54,0.46,1.07,2.27,0.5,0.56,0.3,0.8,24,0,7,4,6,1,Orthodox,Orthodox,-375.0,295.0,170,170,,
Red,-5.08,-7.62,2,-4,7,1.32,0.32,5.38,4.06,0.41,0.46,0.48,0.16,0.16,0.14,0.5,0.0,34,0,10,5,9,2,Orthodox,Orthodox,,,135,135,,
Red,-5.08,-2.54,9,2,-6,2.23,0.5,7.66,5.43,0.53,0.48,0.84,0.34,0.36,0.21,0.4,0.6,-22,0,3,6,1,7,Switch,Switch,,,135,135,,
Blue,5.08,2.54,-1,2,1,-0.76,-0.88,2.84,3.6,0.49,0.58,2.34,3.22,0.35,0.39,1.5,0.6,4,0,5,6,3,2,Orthodox,Switch,,,145,145,,
Red,0.0,12.7,-2,0,-1,-0.07,-3.47,3.71,3.78,0.47,0.51,1.02,4.49,0.37,0.55,0.5,0.9,1,0,5,6,2,3,Southpaw,Orthodox,,,262,246,13.0,15.0
Red,-12.7,-5.08,0,0,1,0.48,1.1,5.35,4.87,0.53,0.39,1.1,0.0,0.5,0.0,0.6,1.4,5,0,2,1,2,1,Switch,Orthodox,,,135,135,,
Blue,10.16,17.78,0,0,3,0.36,1.5,3.47,3.11,0.44,0.46,2.18,0.68,0.4,0.3,0.7,0.5,1,0,2,3,5,2,Orthodox,Orthodox,,,135,135,,
Red,2.54,10.16,-4,1,0,-1.29,1.53,2.0,3.29,0.39,0.56,2.53,1.0,0.43,0.37,1.1,0.0,0,0,1,1,1,1,Orthodox,Southpaw,,,125,125,,
Red,10.16,0.0,5,-4,7,2.47,-1.77,7.16,4.69,0.47,0.47,0.25,2.02,0.53,0.61,0.3,1.1,82,8,22,7,7,0,Orthodox,Orthodox,-305.0,245.0,145,145,0.0,2.0
Blue,5.08,5.08,-3,5,-5,0.82,3.51,5.36,4.54,0.58,0.43,4.31,0.8,0.46,0.38,2.8,0.0,-52,-4,7,17,0,5,Orthodox,Orthodox,200.0,-245.0,185,185,3.0,13.0
Red,2.54,7.62,0,-10,2,0.52,-0.26,4.16,3.64,0.5,0.52,0.66,0.92,0.23,0.31,0.1,0.0,-11,-1,6,10,3,1,Orthodox,Orthodox,-340.0,270.0,205,205,1.0,
Red,-5.08,-5.08,0,-6,7,-1.14,-0.79,3.66,4.8,0.45,0.54,0.99,1.78,0.26,0.54,0.2,0.6,29,0,11,6,7,0,Orthodox,Orthodox,-340.0,270.0,145,145,12.0,14.0
Red,2.54,-5.08,3,-3,2,-0.87,0.19,5.95,6.82,0.52,0.65,0.19,0.0,0.33,0.0,0.0,0.0,5,0,4,3,2,0,Orthodox,Orthodox,-166.0,140.0,185,185,,
Red,0.0,-2.54,6,-2,0,-7.16,0.0,1.18,8.34,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-4,0,0,2,0,0,Orthodox,Southpaw,-108.0,-112.0,205,205,,
Red,-7.62,-12.7,6,0,10,-1.57,1.39,3.48,5.05,0.47,0.51,1.95,0.56,0.35,0.5,0.6,0.1,81,4,21,8,14,4,Southpaw,Southpaw,-245.0,200.0,170,170,10.0,
Red,7.62,20.32,-5,2,-1,-1.28,1.52,3.42,4.7,0.48,0.48,5.36,3.84,0.43,0.75,0.4,0.8,-5,0,2,4,0,1,Southpaw,Orthodox,215.0,-265.0,155,155,,
