Winner,HeightDif,ReachDif,AgeDif,WinStreakDif,LossDif,SigStrDif,AvgTDDif,BlueAvgSigStrLanded,RedAvgSigStrLanded,BlueAvgSigStrPct,RedAvgSigStrPct,BlueAvgTDLanded,RedAvgTDLanded,BlueAvgTDPct,RedAvgTDPct,BlueAvgSubAtt,RedAvgSubAtt,TotalRoundDif,TotalTitleBoutDif,BlueWins,RedWins,BlueLosses,RedLosses,RedStance,BlueStance,RedOdds,BlueOdds,RedWeightLbs,BlueWeightLbs,RMatchWCRank,BMatchWCRank
Red,-15.24,-5.08,-5,-2,-3,0.05,1.76,4.63,4.58,0.4,0.34,2.07,0.31,0.51,0.15,0.7,0.3,-26,-1,5,10,1,4,Orthodox,Orthodox,-180.0,155.0,125,125,,
Blue,0.0,0.0,-5,1,-5,1.58,2.15,8.14,6.56,0.58,0.46,3.26,1.11,0.66,0.31,1.6,0.0,-14,0,1,2,0,5,Orthodox,Switch,115.0,-135.0,155,155,,
Blue,2.54,-2.54,5,-1,2,-0.55,1.35,3.21,3.76,0.61,0.44,1.55,0.2,0.26,0.06,0.9,1.4,4,0,0,1,2,0,Southpaw,Orthodox,-210.0,175.0,125,125,,
Red,5.08,2.54,-2,2,1,0.6,-0.06,4.71,4.11,0.46,0.47,1.7,1.76,0.55,0.4,0.6,0.6,4,0,5,4,3,2,Orthodox,Orthodox,115.0,-135.0,125,125,,9.0
Red,2.54,2.54,3,0,-10,-2.45,2.39,1.82,4.27,0.4,0.39,3.01,0.62,0.33,0.41,0.3,0.0,-38,-1,5,11,3,13,Southpaw,Southpaw,-150.0,130.0,155,155,,
Red,0.0,0.0,4,0,8,3.34,-1.53,5.46,2.12,0.49,0.38,0.76,2.29,0.32,0.34,0.1,1.7,40,0,8,3,11,3,Orthodox,Orthodox,-225.0,185.0,115,115,12.0,13.0
Red,2.54,-5.08,8,0,1,0.41,-0.07,3.97,3.56,0.46,0.65,2.28,2.35,0.36,0.47,0.3,2.1,6,0,1,0,1,0,Orthodox,Southpaw,-320.0,250.0,125,125,,
Blue,0.0,-7.62,6,-1,0,1.07,-0.09,3.0,1.93,0.5,0.45,4.07,4.16,0.56,0.45,2.0,0.2,-3,0,2,3,0,0,Southpaw,Switch,-380.0,290.0,185,185,,
Red,2.54,-10.16,1,-9,-5,3.39,-2.06,6.78,3.39,0.59,0.53,0.11,2.17,0.25,0.4,0.0,2.8,-34,-1,6,20,3,8,Orthodox,Orthodox,-130.0,110.0,155,155,0.0,1.0
Blue,-10.16,-5.08,5,2,1,-1.54,1.67,2.16,3.7,0.4,0.42,3.22,1.55,0.35,0.53,0.3,0.4,3,-3,9,9,4,3,Orthodox,Orthodox,-235.0,190.0,125,115,0.0,2.0
Red,7.62,12.7,2,0,2,0.02,-1.78,4.91,4.89,0.45,0.46,0.39,2.17,0.35,0.38,0.9,0.9,37,2,15,3,4,2,Orthodox,Orthodox,-350.0,270.0,155,170,5.0,7.0
Blue,5.08,10.16,-1,0,0,-0.54,-0.91,3.03,3.57,0.47,0.5,1.1,2.01,0.36,0.48,0.5,0.7,-10,-3,19,27,12,12,Orthodox,Southpaw,210.0,-260.0,205,205,,
Red,-7.62,-2.54,-3,0,-3,1.43,-0.72,5.81,4.38,0.39,0.47,0.0,0.72,0.0,0.39,0.0,0.6,-18,0,4,8,1,4,Orthodox,Orthodox,-115.0,-105.0,170,170,,
Red,10.16,10.16,-9,1,-3,0.05,-0.74,3.18,3.13,0.39,0.45,0.24,0.98,0.09,0.42,0.2,0.5,-39,0,7,17,4,7,Southpaw,Southpaw,110.0,-130.0,170,170,,
Red,-10.16,-12.7,1,3,-1,-0.66,-0.46,3.11,3.77,0.49,0.46,1.91,2.37,0.68,0.38,0.0,0.4,-4,-1,3,5,1,2,Orthodox,Orthodox,180.0,-220.0,135,135,,
Red,-2.54,5.08,3,0,1,-0.1,0.12,4.23,4.33,0.38,0.36,0.59,0.47,0.44,0.6,1.0,1.1,7,-1,5,3,3,2,Southpaw,Orthodox,-260.0,210.0,125,125,6.0,9.0
Red,5.08,5.08,1,2,3,0.45,0.71,3.7,3.25,0.57,0.4,1.4,0.69,0.45,0.4,0.5,0.1,5,0,8,2,6,3,Southpaw,Orthodox,-155.0,135.0,250,253,15.0,
Red,5.08,0.0,1,-1,-1,2.01,-0.25,5.31,3.3,0.47,0.41,0.0,0.25,0.0,1.0,0.0,0.0,-4,0,0,1,0,1,Orthodox,Switch,-475.0,350.0,170,155,,
Red,0.0,10.16,-2,-2,0,0.06,-0.62,3.78,3.72,0.49,0.47,1.47,2.09,0.28,0.45,0.5,0.3,-7,0,2,4,0,0,Orthodox,Orthodox,-125.0,105.0,125,135,,
Blue,2.54,2.54,4,-1,1,0.66,-0.6,5.24,4.58,0.57,0.57,0.0,0.6,0.0,0.22,0.2,0.6,1,0,1,1,1,0,Orthodox,Orthodox,-400.0,300.0,135,125,,
Blue,0.0,0.0,-1,-1,1,1.29,1.58,4.16,2.87,0.48,0.39,2.95,1.37,0.47,0.55,1.0,0.3,2,0,2,2,2,1,Orthodox,Orthodox,165.0,-195.0,115,115,,
Red,5.08,0.0,-3,1,-2,-0.6,-0.28,2.04,2.64,0.34,0.32,0.28,0.56,0.5,0.16,0.6,0.3,-4,0,1,0,0,2,Orthodox,Orthodox,-105.0,-115.0,135,135,,
Blue,0.0,-2.54,-5,2,2,-1.26,-0.38,4.27,5.53,0.49,0.45,0.51,0.89,0.39,0.35,0.8,0.3,12,1,12,9,6,4,Orthodox,Switch,-105.0,-115.0,135,135,5.0,8.0
Red,0.0,2.54,-10,-2,-13,1.98,0.34,5.8,3.82,0.44,0.45,0.71,0.37,0.33,0.35,0.6,0.2,-72,-5,5,24,5,18,Orthodox,Orthodox,-110.0,-110.0,240,230,,
Blue,-7.62,-5.08,-4,0,-6,-0.53,0.96,3.35,3.88,0.51,0.37,3.11,2.15,0.76,0.43,0.6,0.2,-36,0,1,9,1,7,Orthodox,Orthodox,-260.0,210.0,145,145,,
Blue,2.54,10.16,-5,3,-3,-2.77,1.83,2.98,5.75,0.52,0.55,3.61,1.78,0.38,0.31,1.3,0.0,-4,0,6,6,0,3,Orthodox,Switch,180.0,-220.0,155,155,,
Red,0.0,-7.62,-1,0,-8,-0.13,-2.52,3.31,3.44,0.51,0.38,0.33,2.85,0.14,0.35,0.3,1.1,-57,0,1,16,1,9,Orthodox,Orthodox,-165.0,145.0,145,145,,
Red,0.0,0.0,2,2,1,0.15,0.81,3.13,2.98,0.45,0.42,2.14,1.33,0.36,0.39,1.6,0.1,-12,0,9,10,6,5,Southpaw,Southpaw,-200.0,170.0,185,185,,
Red,5.08,7.62,1,-4,8,2.1,-4.08,6.04,3.94,0.45,0.52,0.09,4.17,0.5,0.54,0.0,0.8,18,0,3,4,8,0,Southpaw,Orthodox,-2000.0,1000.0,262,250,,
Blue,0.0,-5.08,7,0,0,-1.91,0.19,2.04,3.95,0.61,0.45,2.51,2.32,0.75,0.5,0.4,1.2,4,0,1,0,1,1,Switch,Southpaw,-125.0,105.0,125,125,,
Red,7.62,7.62,1,0,-1,-4.06,0.11,2.22,6.28,0.41,0.45,0.94,0.83,0.28,0.5,0.5,0.3,-5,0,1,1,0,1,Switch,Orthodox,-115.0,-105.0,155,170,,
Red,2.54,-2.54,3,0,1,2.05,-4.05,5.75,3.7,0.45,0.52,0.98,5.03,0.3,0.58,0.0,0.5,-2,0,0,1,2,1,Southpaw,Orthodox,-235.0,190.0,155,155,,
Blue,2.54,-7.62,-2,0,-2,-0.55,-4.34,3.18,3.73,0.47,0.5,0.0,4.34,0.0,0.52,0.6,0.2,-7,0,0,2,3,5,Southpaw,Orthodox,-200.0,170.0,125,125,,
Blue,-7.62,-7.62,-4,-4,6,3.46,1.47,6.62,3.16,0.5,0.54,2.37,0.9,0.55,0.63,0.3,0.8,32,3,13,5,7,1,Southpaw,Orthodox,190.0,-235.0,115,125,10.0,
Blue,7.62,5.08,-14,3,-15,-1.08,0.04,1.56,2.64,0.49,0.33,3.17,3.13,0.36,0.36,1.2,0.6,-81,-1,4,19,1,16,Orthodox,Southpaw,105.0,-125.0,155,155,,
Red,5.08,7.62,4,0,0,-1.8,0.41,2.9,4.7,0.37,0.53,1.85,1.44,0.33,0.43,0.8,0.1,3,0,5,5,2,2,Switch,Orthodox,-180.0,155.0,125,125,14.0,
Blue,0.0,-5.08,-4,0,-2,0.96,-0.74,5.48,4.52,0.48,0.45,0.35,1.09,0.23,0.37,0.5,0.3,-8,0,3,4,3,5,Orthodox,Switch,-105.0,-115.0,155,145,,
Blue,-2.54,-7.62,2,0,2,2.02,-1.88,6.12,4.1,0.47,0.56,0.21,2.09,0.25,0.45,0.1,0.4,12,0,2,2,4,2,Orthodox,Orthodox,180.0,-220.0,205,185,,
Blue,0.0,-5.08,-8,0,-2,0.12,0.15,3.41,3.29,0.41,0.36,0.76,0.61,0.28,1.0,0.0,0.0,-10,0,1,4,1,3,Switch,Orthodox,105.0,-125.0,185,170,,
Red,-5.08,-15.24,8,0,1,0.76,-0.16,3.66,2.9,0.38,0.59,0.6,0.76,0.5,0.3,0.0,0.8,-2,0,1,3,4,3,Orthodox,Orthodox,-630.0,450.0,205,205,,
Red,5.08,5.08,6,0,-1,-3.32,-1.45,1.99,5.31,0.4,0.5,0.0,1.45,0.0,0.46,0.0,0.0,-4,0,0,0,1,2,Orthodox,Switch,-225.0,185.0,135,135,,
Red,-2.54,2.54,-1,0,-1,1.52,-2.9,5.02,3.5,0.49,0.51,0.63,3.53,0.2,0.36,0.6,2.4,-1,0,0,0,0,1,Orthodox,Switch,-150.0,130.0,170,155,,
Blue,-2.54,10.16,3,-2,-1,-1.77,1.5,3.8,5.57,0.49,0.54,1.65,0.15,0.33,0.2,0.0,0.0,-4,0,0,2,2,3,Orthodox,Orthodox,-125.0,105.0,205,205,,
Blue,10.16,5.08,8,0,1,-4.82,0.71,4.49,9.31,0.57,0.4,0.71,0.0,0.33,0.0,0.0,0.0,4,0,0,0,1,0,Orthodox,Orthodox,-800.0,550.0,170,170,,
Blue,0.0,-7.62,3,2,0,-0.68,1.28,4.39,5.07,0.43,0.52,2.28,1.0,0.39,0.53,0.2,0.6,10,1,11,14,3,3,Orthodox,Orthodox,-180.0,155.0,170,170,5.0,6.0
Red,0.0,-10.16,0,-1,0,-1.81,-0.21,1.8,3.61,0.39,0.6,1.35,1.56,0.3,0.6,0.5,0.5,-3,0,1,2,0,0,Southpaw,Switch,100.0,-120.0,185,170,,
Blue,-5.08,0.0,-1,0,-1,-0.79,-0.11,3.3,4.09,0.41,0.49,0.25,0.36,1.0,0.22,0.0,2.0,-12,0,0,4,1,2,Orthodox,Orthodox,-180.0,155.0,170,170,,
Red,5.08,0.0,-5,0,1,0.22,-0.02,4.23,4.01,0.41,0.59,0.62,0.64,0.3,0.29,0.2,1.5,-2,-1,1,3,3,2,Orthodox,Orthodox,-575.0,,135,135,,
Red,-5.08,-10.16,-7,-3,1,-0.53,-2.29,1.49,2.02,0.5,0.59,1.44,3.73,0.33,0.42,0.0,1.9,-5,0,1,3,1,0,Orthodox,Orthodox,-630.0,450.0,145,145,,
Red,-7.62,-5.08,-5,0,0,-1.89,0.61,5.6,7.49,0.44,0.55,2.41,1.8,0.38,0.57,0.2,0.0,-1,0,0,1,1,1,Orthodox,Orthodox,-210.0,175.0,170,170,,
Red,-5.08,-5.08,2,0,-4,-0.41,-0.39,2.62,3.03,0.56,0.54,1.78,2.17,0.4,0.32,0.4,0.1,-11,0,5,6,2,6,Orthodox,Orthodox,-190.0,160.0,205,205,,
Blue,0.0,2.54,-10,0,-1,2.19,-0.11,4.88,2.69,0.49,0.55,0.41,0.52,0.33,0.27,0.1,0.1,-2,1,4,4,3,4,Orthodox,Orthodox,385.0,-525.0,135,135,11.0,12.0
Red,7.62,2.54,-4,0,-1,-1.44,-1.58,2.93,4.37,0.41,0.55,0.0,1.58,0.0,0.26,0.0,0.0,-17,0,0,5,1,2,Orthodox,Switch,-590.0,425.0,155,155,,
Red,7.62,0.0,9,-1,1,-0.65,-3.15,3.54,4.19,0.47,0.42,0.46,3.61,0.28,0.44,0.5,0.3,1,0,0,1,3,2,Orthodox,Southpaw,115.0,-135.0,155,155,,
Blue,17.78,5.08,-5,0,-1,0.43,0.21,4.84,4.41,0.53,0.48,0.21,0.0,0.25,0.0,0.2,0.0,-3,0,1,1,0,1,Orthodox,Orthodox,240.0,-305.0,265,265,,
Red,5.08,2.54,6,-1,-1,0.52,-0.15,3.07,2.55,0.48,0.61,2.04,2.19,0.3,0.25,0.8,1.1,-7,0,0,3,0,1,Southpaw,Orthodox,115.0,-135.0,155,155,,
Blue,2.54,-5.08,0,0,2,-0.69,0.85,4.33,5.02,0.46,0.45,0.85,0.0,0.3,0.0,0.0,0.0,4,0,0,0,3,1,Orthodox,Orthodox,-240.0,195.0,115,115,,
Red,15.24,17.78,4,0,1,0.01,-1.51,2.65,2.64,0.34,0.32,0.48,1.99,0.05,0.45,0.5,0.0,-5,0,0,2,2,1,Orthodox,Orthodox,,155.0,135,135,,
Red,2.54,2.54,2,-9,5,-2.23,-1.08,3.93,6.16,0.41,0.56,0.7,1.78,0.44,0.37,0.6,0.2,1,-7,7,10,5,0,Orthodox,Orthodox,-600.0,435.0,145,145,0.0,4.0
Red,0.0,-10.16,-3,-5,-2,0.53,-0.58,5.14,4.61,0.53,0.52,1.73,2.31,0.51,0.27,0.1,0.7,-11,-1,8,12,1,3,Orthodox,Switch,310.0,-410.0,145,135,0.0,1.0
Blue,10.16,10.16,-8,3,-4,2.43,1.75,5.72,3.29,0.58,0.48,3.99,2.24,0.46,0.38,2.7,0.5,-37,-1,4,13,0,4,Orthodox,Orthodox,375.0,-510.0,170,185,2.0,11.0
Red,-7.62,-7.62,3,3,3,1.35,-0.27,4.78,3.43,0.47,0.39,0.61,0.88,0.14,0.16,0.1,1.2,21,0,9,6,5,2,Orthodox,Orthodox,-125.0,105.0,115,115,5.0,7.0
Blue,-5.08,0.0,-2,0,-2,-0.06,0.08,3.56,3.62,0.49,0.46,2.86,2.78,0.66,0.54,0.0,0.2,-15,0,3,7,0,2,Orthodox,Orthodox,-125.0,105.0,155,155,,
Red,-10.16,-5.08,4,-1,1,-1.01,1.23,4.49,5.5,0.51,0.55,2.0,0.77,0.3,0.55,0.0,0.3,2,0,0,1,1,0,Orthodox,Orthodox,-410.0,310.0,170,170,,
Red,10.16,2.54,0,-1,-2,-1.78,-5.96,2.52,4.3,0.44,0.59,0.66,6.62,0.25,0.49,1.1,3.0,-8,0,0,2,0,2,Orthodox,Orthodox,-195.0,165.0,185,185,,
Blue,2.54,2.54,6,3,3,0.36,-0.66,4.14,3.78,0.52,0.47,0.9,1.56,0.27,0.47,0.7,0.6,28,2,10,4,5,2,Orthodox,Orthodox,135.0,-155.0,135,135,4.0,7.0
Blue,-2.54,-2.54,0,1,-4,0.5,1.86,3.83,3.33,0.46,0.48,3.04,1.18,0.6,0.32,1.0,1.6,-19,0,1,6,0,4,Switch,Orthodox,150.0,-170.0,170,170,,
Red,5.08,0.0,-15,0,-4,1.67,-1.64,4.96,3.29,0.44,0.48,0.18,1.82,0.5,0.46,0.0,1.9,-14,0,2,8,3,7,Orthodox,Orthodox,130.0,-150.0,240,265,,
Red,-2.54,0.0,-7,-1,2,-0.63,-1.28,3.01,3.64,0.5,0.47,1.83,3.11,0.22,0.41,0.8,0.0,6,0,1,1,2,0,Orthodox,Orthodox,-125.0,105.0,115,115,,
Red,0.0,-7.62,-5,0,-3,-0.1,1.44,4.26,4.36,0.37,0.36,1.9,0.46,0.5,0.28,0.0,0.3,-21,0,0,5,0,3,Southpaw,Orthodox,-200.0,170.0,145,135,,
Red,-2.54,-10.16,1,-1,-2,2.51,-5.69,6.05,3.54,0.5,0.5,0.0,5.69,0.0,0.53,0.0,0.0,-29,-1,4,10,1,3,Orthodox,Orthodox,-600.0,435.0,265,205,4.0,9.0
Blue,-2.54,2.54,-8,2,-4,-2.43,-1.11,4.67,7.1,0.43,0.51,0.41,1.52,0.45,0.55,0.6,0.3,-10,2,5,7,3,7,Orthodox,Orthodox,240.0,-305.0,125,125,7.0,9.0
Blue,0.0,-7.62,-9,0,-6,1.59,-1.55,5.35,3.76,0.48,0.55,0.13,1.68,0.22,0.46,0.3,1.3,-29,0,7,16,6,12,Orthodox,Southpaw,-105.0,-115.0,170,185,,
Blue,-5.08,5.08,0,-1,2,1.51,-1.99,4.56,3.05,0.39,0.54,0.61,2.6,0.33,0.24,0.0,0.4,7,1,6,3,2,0,Orthodox,Orthodox,-450.0,340.0,125,125,2.0,6.0
Red,-10.16,-10.16,2,2,-1,0.48,-0.7,3.92,3.44,0.49,0.46,1.45,2.15,0.41,0.4,0.3,0.2,-37,0,6,18,6,7,Orthodox,Orthodox,-280.0,225.0,170,170,9.0,
Red,2.54,-10.16,1,2,-5,2.86,-3.29,5.4,2.54,0.53,0.4,0.0,3.29,0.0,0.43,0.0,0.0,-22,0,2,5,0,5,Orthodox,Orthodox,115.0,-135.0,155,155,,
Red,-2.54,2.54,-14,4,-6,4.23,-3.18,6.49,2.26,0.56,0.46,1.2,4.38,0.46,0.65,0.0,0.5,-25,-1,4,10,0,6,Orthodox,Orthodox,220.0,-275.0,135,135,9.0,12.0
Red,-5.08,7.62,2,-2,0,0.66,0.26,5.38,4.72,0.36,0.59,0.52,0.26,0.5,0.3,0.0,0.1,-13,0,3,5,1,1,Orthodox,Orthodox,135.0,-155.0,135,135,,
Red,10.16,7.62,2,-1,0,-2.4,-4.68,3.61,6.01,0.41,0.64,0.96,5.64,0.42,0.6,0.0,3.8,-1,0,0,1,0,0,Southpaw,Orthodox,-1000.0,650.0,185,185,,
Blue,7.62,2.54,-1,3,-4,1.91,0.75,6.26,4.35,0.41,0.38,1.17,0.42,0.42,0.27,0.0,0.1,-17,-1,3,4,0,4,Orthodox,Orthodox,375.0,-510.0,125,125,4.0,13.0
Red,-2.54,5.08,0,1,-1,-0.14,-0.8,3.48,3.62,0.43,0.52,0.58,1.38,0.3,0.45,0.2,0.8,-9,0,3,5,0,1,Orthodox,Orthodox,105.0,-125.0,125,125,7.0,10.0
Red,-2.54,-7.62,-5,0,0,-1.43,-0.14,3.73,5.16,0.39,0.5,0.5,0.64,0.16,0.17,0.0,0.2,-6,0,0,2,1,1,Orthodox,Orthodox,130.0,-150.0,145,145,,
Blue,-5.08,-5.08,-5,3,-3,2.94,2.82,8.07,5.13,0.67,0.57,3.27,0.45,1.0,0.63,1.6,0.2,-31,2,4,8,0,3,Orthodox,Orthodox,115.0,-135.0,250,256,6.0,11.0
Red,10.16,12.7,4,-8,7,1.58,-0.2,5.03,3.45,0.48,0.41,0.73,0.93,0.34,0.47,0.3,0.3,18,0,11,8,7,0,Southpaw,Switch,-110.0,-110.0,145,155,7.0,
Red,-5.08,-5.08,9,0,2,-1.29,-0.51,3.65,4.94,0.53,0.53,0.4,0.91,0.25,0.25,0.4,2.1,6,0,1,1,2,0,Orthodox,Southpaw,-760.0,,155,155,,
Red,-2.54,2.54,-2,0,-3,0.37,-1.14,2.21,1.84,0.41,0.61,0.76,1.9,0.37,0.59,0.0,1.0,-21,0,2,8,2,5,Switch,Southpaw,-525.0,385.0,170,170,,
Red,5.08,17.78,-3,1,-2,-0.58,-1.5,4.81,5.39,0.5,0.49,0.34,1.84,0.37,0.36,0.6,0.5,-7,0,4,4,1,3,Orthodox,Orthodox,-140.0,120.0,115,125,,
Blue,-15.24,-20.32,-8,2,-2,1.24,1.42,4.4,3.16,0.46,0.42,1.92,0.5,0.56,0.23,1.3,0.0,-1,1,3,1,0,2,Orthodox,Orthodox,435.0,-600.0,155,145,,
Blue,7.62,0.0,-2,0,3,-0.76,-0.1,1.33,2.09,0.44,0.45,3.96,4.06,0.43,0.28,1.1,0.4,17,0,6,1,5,2,Orthodox,Southpaw,-240.0,195.0,145,145,,
Blue,0.0,20.32,-11,2,-3,3.45,-1.01,5.86,2.41,0.44,0.44,0.0,1.01,0.0,0.23,0.0,0.1,-18,1,2,5,1,4,Orthodox,Southpaw,270.0,-350.0,235,257,10.0,
Blue,0.0,-2.54,4,4,-2,-1.93,-0.61,2.45,4.38,0.46,0.55,1.68,2.29,0.2,0.38,1.6,1.4,-4,0,7,8,4,6,Orthodox,Orthodox,-200.0,170.0,205,185,9.0,11.0
Red,-5.08,-10.16,5,-2,0,1.44,-1.37,5.19,3.75,0.53,0.58,1.73,3.1,0.4,0.38,0.3,0.7,-3,0,2,4,0,0,Orthodox,Orthodox,-130.0,110.0,145,135,,
Blue,0.0,12.7,7,-2,1,-0.34,-1.64,2.66,3.0,0.49,0.4,0.58,2.22,0.6,0.58,0.0,0.4,-5,0,0,2,1,0,Orthodox,Orthodox,-300.0,235.0,115,115,,
Red,0.0,-7.62,9,1,1,1.58,-0.69,3.19,1.61,0.5,0.45,4.6,5.29,0.5,0.41,0.8,0.8,7,0,1,0,1,0,Orthodox,Southpaw,-490.0,360.0,125,125,,
Blue,2.54,-2.54,-9,6,-7,-0.08,0.14,3.64,3.72,0.53,0.48,1.02,0.88,0.31,0.33,0.0,0.1,-30,0,7,14,1,8,Orthodox,Orthodox,450.0,-630.0,205,205,5.0,6.0
Blue,5.08,0.0,-9,2,-4,1.12,-0.21,4.49,3.37,0.43,0.4,0.66,0.87,0.4,0.41,0.2,0.3,1,-1,7,5,1,5,Orthodox,Orthodox,230.0,,135,135,10.0,14.0
Red,2.54,5.08,5,5,9,-1.45,0.26,4.21,5.66,0.49,0.49,0.54,0.28,0.68,0.2,0.7,0.4,50,0,14,5,10,1,Orthodox,Southpaw,-290.0,230.0,145,145,12.0,15.0
Red,0.0,-5.08,-1,-1,-1,-1.27,0.72,2.57,3.84,0.51,0.39,0.72,0.0,0.4,0.0,0.5,0.1,-5,-1,5,5,4,5,Southpaw,Southpaw,125.0,-145.0,205,205,,
Red,5.08,7.62,-6,2,-6,0.14,2.78,4.53,4.39,0.5,0.4,3.45,0.67,0.36,0.17,1.0,0.1,-32,0,2,10,1,7,Southpaw,Switch,-155.0,135.0,155,155,,
Red,-10.16,-12.7,-2,2,0,-1.11,0.76,4.12,5.23,0.49,0.63,0.93,0.17,0.27,1.0,0.0,0.3,3,-5,3,1,0,0,Orthodox,Orthodox,-220.0,180.0,205,185,,
Red,-7.62,-20.32,-4,0,-1,-0.42,0.52,3.36,3.78,0.49,0.43,1.54,1.02,0.35,0.57,0.9,0.4,-7,0,1,3,0,1,Switch,Switch,-195.0,165.0,170,170,,
Red,0.0,-10.16,-3,-1,1,-1.05,1.82,2.83,3.88,0.48,0.46,2.48,0.66,0.42,0.23,1.1,0.0,-4,0,7,6,4,3,Southpaw,Orthodox,100.0,-120.0,125,115,,
Blue,5.08,-2.54,-5,1,-1,3.29,1.08,5.42,2.13,0.53,0.37,1.7,0.62,0.4,0.15,0.2,0.2,-4,0,1,1,0,1,Southpaw,Orthodox,160.0,-190.0,135,135,,
Red,-2.54,10.16,-6,0,-1,0.32,-0.84,3.22,2.9,0.5,0.42,1.5,2.34,0.26,0.34,1.2,1.2,-7,0,1,2,1,2,Switch,Switch,-130.0,110.0,145,155,,
Blue,-10.16,-12.7,0,0,-1,-2.51,1.78,3.59,6.1,0.45,0.43,2.43,0.65,0.45,0.8,0.3,0.2,-8,0,2,3,2,3,Orthodox,Southpaw,280.0,-365.0,125,125,,
Blue,10.16,-10.16,-7,0,0,-1.45,0.17,1.62,3.07,0.54,0.45,2.31,2.14,0.5,0.45,0.9,0.0,-8,0,0,2,2,2,Orthodox,Orthodox,-145.0,125.0,185,185,,
Blue,-2.54,0.0,13,0,4,-1.42,2.27,3.44,4.86,0.55,0.32,2.27,0.0,0.55,0.0,0.4,0.0,12,0,2,0,5,1,Southpaw,Southpaw,-160.0,140.0,135,135,,
Blue,-5.08,-15.24,5,0,-1,-0.85,-0.14,4.72,5.57,0.56,0.52,0.62,0.76,0.15,0.57,0.0,0.0,-10,0,1,3,0,1,Orthodox,Southpaw,170.0,-200.0,185,205,,
Red,0.0,5.08,3,0,6,0.17,-2.41,4.05,3.88,0.47,0.38,1.38,3.79,0.59,0.44,0.3,0.2,24,-1,17,11,9,3,Orthodox,Orthodox,-310.0,245.0,170,170,1.0,6.0
Red,7.62,5.08,-5,1,-7,0.9,-0.06,4.38,3.48,0.48,0.47,1.89,1.95,0.45,0.35,0.6,0.6,-67,-4,8,19,4,11,Southpaw,Orthodox,-190.0,160.0,170,155,,
Blue,-2.54,-12.7,-9,5,-10,-1.81,3.0,2.3,4.11,0.58,0.44,3.45,0.45,0.41,0.5,1.6,0.1,-54,0,5,16,0,10,Orthodox,Southpaw,150.0,-170.0,145,145,10.0,11.0
Red,-10.16,-12.7,5,0,5,-1.26,1.51,2.99,4.25,0.51,0.49,2.35,0.84,0.38,0.38,0.6,0.6,10,0,11,9,9,4,Orthodox,Orthodox,-435.0,330.0,185,170,,
Red,5.08,5.08,6,0,1,1.28,-4.43,4.79,3.51,0.5,0.49,0.2,4.63,0.33,0.65,0.0,0.7,5,0,6,4,4,3,Orthodox,Orthodox,-180.0,155.0,260,265,,
Red,-7.62,-7.62,1,-1,0,-1.21,1.52,4.39,5.6,0.46,0.48,2.31,0.79,0.34,0.55,0.1,1.1,-2,0,2,5,2,2,Southpaw,Orthodox,-160.0,140.0,155,155,,
Red,-2.54,-5.08,-2,-3,0,0.15,0.77,4.97,4.82,0.44,0.47,1.0,0.23,0.73,0.42,0.0,0.2,-8,1,6,6,1,1,Orthodox,Orthodox,-305.0,240.0,115,115,3.0,4.0
Red,12.7,12.7,2,-2,1,1.55,-0.42,5.13,3.58,0.45,0.41,0.6,1.02,0.45,0.28,0.2,0.0,9,0,5,2,2,1,Orthodox,Southpaw,115.0,-135.0,205,205,,
Red,-2.54,2.54,-6,-1,-1,0.01,-0.15,4.43,4.42,0.54,0.33,0.55,0.7,0.66,0.24,0.8,0.6,-13,0,2,5,2,3,Orthodox,Southpaw,145.0,-165.0,125,125,,
Blue,5.08,7.62,-9,-1,-5,1.15,2.3,4.46,3.31,0.63,0.41,3.98,1.68,0.5,0.41,0.4,0.7,-26,0,1,8,0,5,Switch,Orthodox,650.0,-1000.0,135,135,,
Red,0.0,10.16,-5,2,-10,-0.17,-0.02,3.22,3.39,0.45,0.44,3.71,3.73,0.46,0.47,2.1,1.0,-36,-1,2,6,0,10,Southpaw,Southpaw,190.0,-235.0,125,125,13.0,15.0
Blue,-5.08,-10.16,-1,0,0,-0.62,1.31,3.93,4.55,0.55,0.53,1.66,0.35,0.5,0.25,0.0,0.3,-1,0,1,4,2,2,Orthodox,Southpaw,-145.0,125.0,155,155,,
Red,-7.62,-5.08,-6,-3,0,-0.42,0.72,5.08,5.5,0.5,0.47,1.08,0.36,0.43,0.25,0.0,0.0,-8,0,4,5,2,2,Orthodox,Southpaw,-195.0,165.0,205,185,,
Red,0.0,2.54,5,-7,8,3.78,-1.96,6.43,2.65,0.53,0.59,1.23,3.19,0.39,0.53,0.3,1.1,38,-4,14,10,9,1,Southpaw,Orthodox,-760.0,525.0,155,155,,
Blue,-7.62,-12.7,-9,1,-2,-0.63,-2.6,3.23,3.86,0.51,0.51,1.55,4.15,0.2,0.39,0.8,1.7,-5,0,2,6,3,5,Orthodox,Orthodox,-150.0,130.0,205,170,,
Blue,0.0,-17.78,1,0,0,-1.61,0.15,3.76,5.37,0.44,0.36,0.15,0.0,0.33,0.0,0.0,0.1,-8,0,2,3,4,4,Orthodox,Orthodox,-180.0,155.0,125,125,,
Red,20.32,12.7,3,0,0,0.6,-3.25,4.39,3.79,0.52,0.48,0.0,3.25,0.0,0.37,1.2,0.0,-5,0,4,4,1,1,Orthodox,Orthodox,-265.0,215.0,155,155,13.0,
