Winner,HeightDif,ReachDif,AgeDif,LossDif,SigStrDif,AvgTDDif,TotalRoundDif,TotalTitleBoutDif,WeightDif,AvgSigStrPctDif,AvgTDPctDif,AvgSubAttDif,WinsDif,OddsDif,RankDif
0,-2.54,0.0,13.0,-4.0,1.4200000000000004,-2.27,12.0,0.0,0.0,-0.23000000000000004,-0.55,-0.4,-2.0,-300.0,0
1,-5.08,-5.08,1.0,-1.0,-7.25,0.75,5.0,0.0,0.0,0.07,-0.04999999999999999,1.0833,0.0,-262.0,0
1,-5.08,0.0,-2.0,1.0,-31.0,-0.2223,-1.0,0.0,0.0,-0.08199999999999996,-0.065,0.0,-1.0,-440.0,0
1,0.0,0.0,1.0,1.0,2.136400000000002,-1.7273,-13.0,-1.0,0.0,-0.04899999999999999,-0.123,-0.13640000000000002,6.0,-620.0,-13.0
0,0.0,7.62,6.0,3.0,-2.700000000000003,-1.9,-21.0,0.0,0.0,-0.19299999999999995,-0.37300000000000005,-1.4,5.0,630.0,-14.0
1,-10.16,-5.08,-6.0,1.0,0.8100000000000005,-1.8200000000000003,-12.0,-1.0,0.0,0.09000000000000002,0.36,-0.1,2.0,-362.0,-8.0
0,-2.54,-2.54,10.0,3.0,0.0,-0.28,-10.0,0.0,0.0,0.009999999999999953,-0.3,-0.3,1.0,240.0,0
0,0.0,-2.54,7.0,0.0,5.0,0.0,0.0,1.0,0.0,0.35,0.0,-2.0,0.0,-260.0,0
1,5.08,-5.08,5.0,0.0,-1.04,0.5,3.0,0.0,-25.0,0.09999999999999998,0.06,0.5,-1.0,-440.0,0
1,0.0,-5.08,1.0,2.0,53.375,1.5,-19.0,-2.0,-10.0,0.404,0.371,1.375,6.0,-2000.0,-20.0
1,7.62,12.7,-12.0,1.0,-43.0,1.0,-1.0,0.0,10.0,-0.029999999999999916,0.41000000000000003,1.0,0.0,-1750.0,0
1,12.7,5.08,0.0,1.0,2.75,0.5,-5.0,0.0,0.0,0.03300000000000003,0.333,1.5,2.0,-363.0,0
1,-7.62,-5.08,-2.0,-3.0,3.5833000000000013,-0.08329999999999993,28.0,4.0,25.0,-0.006000000000000005,0.465,0.9167000000000001,-5.0,-355.0,0
1,-12.7,-17.78,-2.0,-2.0,-0.5700000000000003,-3.7199999999999998,6.0,0.0,0.0,0.10000000000000003,0.43000000000000005,0.9,0.0,335.0,-7.0
1,7.62,5.08,5.0,5.0,28.9231,3.1538,-33.0,0.0,-15.0,0.366,0.422,0.6923,8.0,420.0,0
1,-2.54,-7.62,4.0,-1.0,0.04999999999999982,-4.34,7.0,0.0,15.0,-0.10999999999999999,-0.35,1.4,-2.0,297.0,0
0,0.0,2.54,-1.0,0.0,-16.0,-1.0,1.0,0.0,0.0,-0.5,-0.33,0.0,-1.0,340.0,0
1,-5.08,-12.7,-4.0,6.0,20.1111,0.2222,-19.0,-1.0,20.0,0.406,0.222,0.1111,3.0,400.0,0
1,7.62,7.62,-4.0,1.0,1.3250000000000028,0.125,0.0,0.0,0.0,-0.07200000000000001,-0.039999999999999994,-0.65,1.0,-440.0,0
1,0.0,-5.08,7.0,3.0,-0.5,0.0,-13.0,0.0,16.0,-0.20800000000000002,-0.738,-1.0,2.0,320.0,-6.0
1,-12.7,-20.32,-4.0,0.0,1.66,2.4299999999999997,-12.0,0.0,0.0,0.12000000000000005,0.48000000000000004,-2.2,4.0,-1080.0,0
0,0.0,0.0,8.0,2.0,-27.5333,0.6667000000000001,-5.0,0.0,0.0,0.007000000000000006,0.236,-0.3333,0.0,-720.0,-10.0
1,-2.54,5.08,5.0,-4.0,2.5100000000000002,1.73,27.0,0.0,0.0,-0.13000000000000006,0.25,1.5999999999999999,-5.0,-655.0,0
1,-2.54,0.0,-3.0,0.0,-2.3499999999999996,2.95,-13.0,0.0,0.0,0.09000000000000002,0.09000000000000002,0.2,4.0,-398.0,0
0,-2.54,-5.08,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,370.0,0
0,5.08,10.16,6.0,-2.0,-31.200000000000003,-0.6,13.0,0.0,0.0,-0.192,-0.298,-0.19999999999999996,-2.0,-430.0,0
1,2.54,-2.54,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420.0,0
0,-10.16,-5.08,-3.0,1.0,22.75,-0.5,-3.0,0.0,0.0,-0.01200000000000001,-0.08000000000000002,-0.5,1.0,-342.0,0
1,0.0,0.0,-4.0,0.0,-1.9499999999999993,0.17,2.0,-3.0,0.0,0.08999999999999997,1.0,0.3,-1.0,-240.0,-1.0
1,-10.16,0.0,13.0,-1.0,2.2199999999999998,-1.5,-1.0,0.0,0.0,0.03999999999999998,-0.28,0.7,2.0,0.0,0
1,0.0,5.08,-9.0,-1.0,-18.033300000000004,2.0,12.0,0.0,-10.0,-0.025000000000000022,0.323,0.6333000000000001,-4.0,-355.0,0
1,12.7,17.78,3.0,1.0,0.2900000000000009,0.0,0.0,0.0,0.0,-0.21000000000000002,0.0,0.0,-1.0,-258.0,0
1,-10.16,-15.24,5.0,0.0,29.25,1.25,-10.0,0.0,35.0,0.628,0.375,1.0,4.0,-210.0,0
1,5.08,2.54,4.0,1.0,0.5499999999999998,0.0,-6.0,0.0,59.0,0.020000000000000018,0.0,-2.0,1.0,-570.0,0
1,22.86,7.62,0.0,0.0,1.6600000000000001,3.5800000000000005,-1.0,0.0,0.0,-0.22999999999999998,0.11000000000000004,-0.3,0.0,345.0,0
0,2.54,-17.78,6.0,6.0,-10.5,0.5833,-19.0,-1.0,0.0,-0.041999999999999926,0.27,0.1667,3.0,535.0,-1.0
1,-10.16,7.62,5.0,1.0,3.2399999999999998,-0.44999999999999996,-52.0,-7.0,0.0,0.07,0.09000000000000002,-0.3,13.0,-1200.0,-7.0
1,-10.16,-22.86,1.0,-2.0,2.56,-0.12,-2.0,0.0,0.0,-0.06,0.04999999999999999,-0.3,0.0,-290.0,0
0,0.0,12.7,-6.0,1.0,-3.29,0.06000000000000005,-4.0,0.0,0.0,-0.15999999999999998,0.07,0.0,1.0,10.0,0
1,7.62,-2.54,-2.0,0.0,9.0,0.6667000000000001,-4.0,0.0,15.0,-0.10699999999999998,0.07699999999999996,0.3333,2.0,-393.0,0
0,-2.54,0.0,7.0,1.0,18.0,-0.33329999999999993,-4.0,0.0,0.0,0.09700000000000003,-0.47300000000000003,1.0,1.0,-640.0,0
1,10.16,25.4,-1.0,-3.0,-13.404400000000003,-1.0368,20.0,-1.0,23.0,-0.15699999999999997,-0.238,-0.05149999999999999,-6.0,-450.0,-14.0
1,2.54,0.0,-7.0,1.0,14.75,3.0,-7.0,0.0,0.0,-0.20700000000000007,0.433,1.0,2.0,-1200.0,0
